ts_iso,t_sec,rate
2026-09-01T16:00:05Z,1788278405,0.00002000
2026-09-01T20:00:03Z,1788292803,0.00000000
2026-09-02T00:00:05Z,1788307205,0.00000000
2026-09-02T04:00:03Z,1788321603,0.00056500
2026-09-02T08:00:05Z,1788336005,0.00013200
2026-09-02T12:00:03Z,1788350403,-0.00006200
2026-09-02T16:00:05Z,1788364805,0.00000000
2026-09-02T20:00:03Z,1788379203,0.00000000
2026-09-03T00:00:05Z,1788393605,0.00000000
2026-09-03T04:00:02Z,1788408002,-0.00002100
2026-09-03T08:00:05Z,1788422405,0.00000000
2026-09-03T12:00:04Z,1788436804,0.00010300
2026-09-03T16:00:08Z,1788451208,0.00043700
2026-09-03T20:00:05Z,1788465605,0.00022700
2026-09-04T00:00:08Z,1788480008,0.00010600
2026-09-04T04:00:04Z,1788494404,0.00033500
2026-09-04T08:00:07Z,1788508807,0.00070700
2026-09-04T12:00:04Z,1788523204,0.00058700
2026-09-04T16:00:07Z,1788537607,0.00034300
2026-09-04T20:00:04Z,1788552004,0.00032200
2026-09-05T00:00:07Z,1788566407,0.00024200
2026-09-05T04:00:04Z,1788580804,0.00023600
2026-09-05T08:00:07Z,1788595207,0.00021300
2026-09-05T12:00:04Z,1788609604,0.00012700
2026-09-05T16:00:06Z,1788624006,0.00011500
2026-09-05T20:00:04Z,1788638404,0.00005900
2026-09-06T00:00:07Z,1788652807,0.00002500
2026-09-06T04:00:04Z,1788667204,0.00012100
2026-09-06T08:00:06Z,1788681606,0.00029900
