strategy,symbol,market_type,from,to,quantity,fee_rate,cooldown_seconds,close_mode,it_breakout_n,it_cooldown_bars,it_sep_gate,it_sl_atr,it_trend_ema,rows_total,rows_sqlite,rows_api,missing_ranges,candles_fed,warmup_candles,signal_count,entry_signal_count,trade_count,net_pnl,gross_profit,gross_loss,total_fees,return_pct,win_rate,profit_factor,max_drawdown_pct,exit_code,error
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.3,5,200,19589,19589,0,0,19589,319,48,48,48,-20.64149080000004,1.6267008000000176,-22.268191600000062,15.1322908,0.0,0.10416666666666667,0.07305042228934357,22012.410615715355,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.5,5,200,19589,19589,0,0,19589,319,47,47,47,-20.654737600000153,0.3576066000000059,-21.01234420000016,14.8107376,0.0,0.0851063829787234,0.01701888169145845,22026.473036097646,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.15,5,200,19589,19589,0,0,19589,319,45,45,45,-20.188223799999967,0.24632300000003496,-20.4345468,14.1528238,0.0,0.06666666666666667,0.012054243356159724,21531.235456479524,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.3,5,200,19589,19589,0,0,19589,319,48,48,48,-19.976956600000012,1.7512666000000177,-21.728223200000027,15.1307566,0.0,0.125,0.08059870261273896,21306.96029724386,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.5,5,200,19589,19589,0,0,19589,319,47,47,47,-19.8536568000001,0.45833820000002334,-20.311995000000124,14.812056799999999,0.0,0.10638297872340426,0.022564903152054762,21176.06878981293,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.15,5,400,19589,19589,0,0,19589,531,46,46,46,-19.92118240000004,0.41124840000000007,-20.33243080000004,14.475982399999998,0.0,0.08695652173913043,0.02022622892684328,26947.954716976972,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.3,5,400,19589,19589,0,0,19589,531,50,50,50,-20.017136000000058,1.8523654,-21.869501400000058,15.747135999999994,0.0,0.12,0.0847008519362035,27077.272237192607,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,3,0.5,5,400,19589,19589,0,0,19589,531,50,50,50,-18.460792400000177,1.4265440000000003,-19.887336400000173,15.736392399999996,0.0,0.16,0.07173127518474459,24979.774123985553,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.15,5,400,19589,19589,0,0,19589,531,45,45,45,-18.96693080000002,0.41124840000000007,-19.37817920000002,14.152130799999997,0.0,0.08888888888888889,0.021222241561271126,25661.901347704912,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.3,5,400,19589,19589,0,0,19589,531,51,51,51,-19.415687600000048,2.2351895999999947,-21.650877200000046,16.061287599999996,0.0,0.13725490196078433,0.1032378309364754,26266.694878702157,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,3,0.5,5,400,19589,19589,0,0,19589,531,50,50,50,-18.479187600000145,1.428145600000006,-19.90733320000015,15.7367876,0.0,0.16,0.07173967430253265,25004.56549864858,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,10,0.15,1.5,200,19589,19589,0,0,19589,270,50,50,50,-17.93753919999999,0.08606180000001165,-18.023601000000003,15.755139199999999,0.0,0.02,0.0047749503553708075,0.0,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,10,0.3,1.5,200,19589,19589,0,0,19589,426,52,52,52,-17.06251079999998,1.431315400000006,-18.493826199999987,16.409310800000007,0.0,0.038461538461538464,0.07739422791807175,15611.373454545435,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,10,0.5,1.5,200,19589,19589,0,0,19589,426,49,49,49,-17.535284399999966,0.08606180000001165,-17.621346199999984,15.452884400000002,0.0,0.02040816326530612,0.004883951488338146,16041.167636363605,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,10,0.15,1.5,200,19589,19589,0,0,19589,385,50,50,50,-17.69463059999992,0.08606180000001165,-17.780692399999932,15.754030599999998,0.0,0.02,0.004840182714145147,54713.05740741698,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,10,0.3,1.5,200,19589,19589,0,0,19589,385,54,54,54,-18.20950859999994,1.431315400000006,-19.64082399999995,17.028508600000006,0.0,0.037037037037037035,0.0728745087273329,56302.187037046955,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,10,0.5,1.5,200,19589,19589,0,0,19589,426,49,49,49,-17.23383039999995,0.18679340000002914,-17.420623799999976,15.454230400000002,0.0,0.04081632653061224,0.010722543701335735,15767.1185454545,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,10,0.15,1.5,400,19589,19589,0,0,19589,531,50,50,50,-18.262474600000047,0.08606180000001165,-18.34853640000006,15.753074599999998,0.0,0.02,0.004690390455339608,24712.49946091264,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,10,0.3,1.5,400,19589,19589,0,0,19589,531,54,54,54,-17.89876440000008,1.5304454000000176,-19.4292098000001,17.026364400000006,0.0,0.05555555555555555,0.07877033681524247,24222.32398921465,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,10,0.5,1.5,400,19589,19589,0,0,19589,531,49,49,49,-17.48438340000004,0.18519180000002328,-17.66957520000006,15.449783400000005,0.0,0.04081632653061224,0.01048082921654068,23663.859029645955,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,10,0.15,1.5,400,19589,19589,0,0,19589,531,50,50,50,-18.250647399999984,0.08606180000001165,-18.336709199999998,15.752447399999998,0.0,0.02,0.004693415762955529,24696.559838271052,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,10,0.3,1.5,400,19589,19589,0,0,19589,531,54,54,54,-17.77561720000005,1.5320470000000235,-19.307664200000072,17.026817200000004,0.0,0.05555555555555555,0.07934916332344426,24056.357412395228,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,60,10,0.5,1.5,400,19589,19589,0,0,19589,531,49,49,49,-17.53033380000004,0.18679340000002914,-17.717127200000068,15.449733800000002,0.0,0.04081632653061224,0.010543097528815418,23725.786792449177,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,10,0.15,2.5,200,19589,19589,0,0,19589,270,56,56,56,-22.435371000000142,0.08606180000001165,-22.521432800000152,17.626370999999995,0.0,0.017857142857142856,0.003821328809950807,0.0,0,
iron_trader,BTC_USDT,spot,2026-08-23,2026-09-06,0.002,,,,20,10,0.3,2.5,200,19589,19589,0,0,19589,319,59,59,59,-21.54533440000011,1.4394665999999943,-22.984801000000108,18.602934399999995,0.0,0.05084745762711865,0.0626268898303704,22971.90488323154,0,
