ts,open,high,low,close,volume
1787325360,4597.74,4599.2,4596.57,4596.58,
1787325420,4596.58,4597.65,4596.47,4596.77,
1787325480,4596.79,4598.54,4596.49,4597.49,
1787325540,4597.49,4598.54,4595.99,4597.55,
1787325600,4597.55,4597.98,4595.27,4596.89,
1787325660,4596.89,4598.42,4596.13,4597.03,
1787325720,4597.03,4600.49,4596.62,4598.59,
1787325780,4598.59,4601.16,4598.59,4600.77,
1787325840,4600.77,4602.79,4600.5,4602.43,
1787325900,4602.43,4607.54,4600.79,4601.49,
1787325960,4601.51,4602.83,4600.04,4600.61,
1787326020,4600.65,4602.39,4600.32,4601.92,
1787326080,4601.92,4606.02,4601.75,4605.22,
1787326140,4605.21,4605.26,4602.74,4602.98,
1787326200,4602.98,4603.84,4599.66,4601.21,
1787326260,4601.21,4601.79,4599.74,4600.22,
1787326320,4600.23,4602.43,4600.12,4602.19,
1787326380,4602.19,4605.65,4601.58,4605.06,
1787326440,4605.06,4606.17,4604.76,4606.09,
1787326500,4606.09,4607.84,4605.82,4607.38,
1787326560,4607.36,4608.28,4606.44,4606.51,
1787326620,4606.51,4608.41,4606.15,4606.21,
1787326680,4606.21,4607.1,4605.15,4606.56,
1787326740,4606.56,4608.1,4606.46,4606.81,
1787326800,4606.81,4607.55,4605.7,4607.53,
1787326860,4607.52,4608.7,4606.59,4608.43,
1787326920,4608.43,4610.39,4608.24,4609.41,
1787326980,4609.45,4610.24,4607.9,4610.08,
1787327040,4610.08,4610.55,4608.84,4609.59,
1787327100,4609.59,4611.04,4609.46,4609.99,
1787327160,4609.99,4610.64,4609.63,4609.7,
1787327220,4609.75,4610.37,4608.77,4609.22,
1787327280,4609.22,4609.59,4607.99,4608.18,
1787327340,4608.18,4608.31,4607.08,4607.78,
1787327400,4607.78,4609.74,4607.34,4608.14,
1787327460,4607.9,4611.47,4607.56,4610.24,
1787327520,4610.27,4612.64,4610.26,4612.33,
1787327580,4612.33,4615.06,4612.31,4614.33,
1787327640,4614.35,4615.04,4613.43,4613.78,
1787327700,4613.78,4614.67,4613,4614.54,
1787327760,4614.54,4614.87,4612.53,4614.77,
1787327820,4614.77,4615.32,4612.3,4612.62,
1787327880,4612.62,4613.04,4610.99,4613.02,
1787327940,4613.02,4614.63,4612.7,4614.59,
1787328000,4614.59,4615.65,4613.28,4613.42,
1787328060,4613.42,4616.3,4613.02,4614.04,
1787328120,4614.04,4615.61,4613.89,4615.26,
1787328180,4615.28,4617.84,4615.19,4617.27,
1787328240,4617.31,4617.43,4616.39,4617.14,
1787328300,4617.14,4617.33,4615.17,4615.5,
1787328360,4615.3,4615.68,4613.58,4614.51,
1787328420,4614.51,4616.83,4613.54,4615.13,
1787328480,4615.13,4615.76,4610.23,4610.27,
1787328540,4610.29,4611.09,4609.15,4610.34,
1787328600,4610.33,4614.32,4610.3,4613.82,
1787328660,4613.82,4613.83,4611.72,4612.62,
1787328720,4612.62,4614.66,4611.81,4613.88,
1787328780,4613.92,4615.84,4613.54,4615.46,
1787328840,4615.46,4615.61,4614.51,4614.59,
1787328900,4614.59,4615.15,4613.93,4614.89,
1787328960,4614.87,4616.08,4614.87,4615.89,
1787329020,4615.89,4616.08,4614.85,4615.18,
1787329080,4615.18,4616.08,4614.34,4614.62,
1787329140,4614.62,4615.49,4614.08,4614.17,
1787329200,4614.1,4614.17,4611.53,4611.81,
1787329260,4611.81,4620.78,4611.44,4613.57,
1787329320,4613.68,4615.81,4613.57,4613.95,
1787329380,4613.95,4614.57,4612.13,4614.4,
1787329440,4614.4,4614.4,4613,4613.09,
1787329500,4613.1,4614.37,4612.34,4613.11,
1787329560,4613.07,4613.11,4610.69,4611.69,
1787329620,4611.7,4612.75,4610.75,4612.75,
1787329680,4612.86,4613.94,4612.86,4613.58,
1787329740,4613.58,4614.6,4613.29,4614.09,
1787329800,4614.09,4614.78,4613.23,4614.5,
1787329860,4614.5,4614.68,4612.41,4612.54,
1787329920,4612.54,4616.05,4612.28,4615.85,
1787329980,4615.85,4616.06,4614.41,4615.11,
1787330040,4615.15,4616.36,4615.02,4615.77,
1787330100,4615.77,4615.86,4614.59,4615.37,
1787330160,4615.37,4616.4,4614.94,4615.26,
1787330220,4615.26,4617.02,4615.15,4616.92,
1787330280,4616.91,4619.82,4616.66,4619.67,
1787330340,4619.67,4621.06,4618.58,4619.29,
1787330400,4619.29,4619.56,4617.77,4617.89,
1787330460,4617.98,4619.23,4617.27,4619.1,
1787330520,4619.1,4620.92,4618.87,4619.8,
1787330580,4619.87,4622.02,4619.81,4621.53,
1787330640,4621.53,4622.14,4620.66,4621.56,
1787330700,4621.56,4622.31,4621.2,4622.26,
1787330760,4622.26,4622.68,4621.65,4622.43,
1787330820,4622.43,4624.43,4621.78,4624.26,
1787330880,4624.26,4624.88,4623.72,4623.86,
1787330940,4623.86,4624.92,4623.68,4624.03,
1787331000,4624.09,4625.11,4623.88,4624.57,
1787331060,4624.57,4626.69,4624.19,4625.82,
1787331120,4625.82,4625.84,4624.26,4625.35,
1787331180,4625.35,4626.87,4625.23,4626.84,
1787331240,4626.84,4627.52,4626.34,4627.52,
1787331300,4627.52,4627.61,4626.68,4627.34,
1787331360,4627.34,4627.57,4625.99,4626.84,
1787331420,4626.84,4627.92,4626.7,4627.62,
1787331480,4627.62,4628.76,4627.55,4628.46,
1787331540,4628.47,4629.2,4627.88,4628.9,
1787331600,4628.91,4629.24,4627.39,4627.76,
1787331660,4627.76,4628.19,4626.9,4628.17,
1787331720,4628.17,4629.78,4628.06,4629.44,
1787331780,4629.34,4630.9,4628.79,4629.08,
1787331840,4629.08,4630.43,4627.08,4627.6,
1787331900,4627.6,4629.11,4626.19,4627.16,
1787331960,4627.16,4629,4626.91,4627.53,
1787332020,4627.53,4630.19,4627.29,4629.64,
1787332080,4629.64,4631.8,4629.64,4631.46,
1787332140,4631.46,4632.08,4630.18,4630.75,
1787332200,4630.75,4631.67,4629.42,4629.71,
1787332260,4629.71,4631.45,4628.63,4629.42,
